vn_node_id,vn_name,rz_name,vn_type,vn_id,reserved_vlan_id,dhcp_service,ipv4_enabled,ipv6_enabled,virtual_gateway_ipv4_enabled,virtual_gateway_ipv6_enabled,ipv4_subnet,ipv6_subnet,virtual_gateway_ipv4,virtual_gateway_ipv6,l3_mtu,bound_to_dc1_rack_0101_leaf_pair1,bound_to_dc1_rack_0102_leaf_pair1,bound_to_dc1_rack_0103_leaf_pair1
,DC1-1056,DC1-RZ1,vxlan,1001056,,,,,,,,,,,,1056,1056,1056
,DC1-1057,DC1-RZ1,vxlan,1001057,,,,,,,,,,,,1057,1057,1057
,DC1-1058,DC1-RZ1,vxlan,1001058,,,,,,,,,,,,1058,1058,1058
,DC1-1060,DC1-RZ1,vxlan,1001060,,,,,,,,,,,,1060,1060,1060
,DC1-1062,DC1-RZ1,vxlan,1001062,,,,,,,,,,,,1062,1062,1062
,DC1-1066,DC1-RZ1,vxlan,1001066,,,,,,,,,,,,1066,1066,1066
,DC1-1067,DC1-RZ1,vxlan,1001067,,,,,,,,,,,,1067,1067,1067
,DC1-1068,DC1-RZ1,vxlan,1001068,,,,,,,,,,,,1068,1068,1068
,DC1-1073,DC1-RZ1,vxlan,1001073,,,,,,,,,,,,1073,1073,1073
,DC1-1075,DC1-RZ1,vxlan,1001075,,,,,,,,,,,,1075,1075,1075
,DC1-1076,DC1-RZ1,vxlan,1001076,,,,,,,,,,,,1076,1076,1076
,DC1-1079,DC1-RZ1,vxlan,1001079,,,,,,,,,,,,1079,1079,1079
,DC1-1080,DC1-RZ1,vxlan,1001080,,,,,,,,,,,,1080,1080,1080
,DC1-1082,DC1-RZ1,vxlan,1001082,,,,,,,,,,,,1082,1082,1082
,DC1-1083,DC1-RZ1,vxlan,1001083,,,,,,,,,,,,1083,1083,1083
,DC1-1084,DC1-RZ1,vxlan,1001084,,,,,,,,,,,,1084,1084,1084
